Event ID,Condition,Agent,Reporting Agency,Affected Population,City,Event Start Date,Event End Date,Outcome,Cost of Damages ($)
2752.0,Zombie Virus Outbreak,Banana Peels,World Dance Federation,4088.0,New York,2014-09-01,2022-05-18,Turned Into Zombie,548009.13
7713.0,,Zombie Virus,Banana Safety Commission,42982.0,Miami,,2022-03-18,Became Infected,958705.97
3978.0,Radioactive Cheese Contamination,Invisible Dog Virus,NASA,20121.0,Chicago,2021-09-29,2022-07-26,Banished to Space,1644122.66
,Chocolate Poisoning,Cellular Rays,PAHO,17550.0,San Francisco,2021-08-27,2022-02-15,,241017.82
4653.0,Radioactive Cheese Contamination,Wheat Molecule Mutation,World Dance Federation,44378.0,Miami,2019-07-31,2022-07-18,Quarantined,638143.19
4013.0,Zombie Virus Outbreak,Banana Peels,National Cheese Board,783.0,San Francisco,2019-05-10,2022-05-23,Banished to Space,322775.61
9892.0,Banana Peel Slip Epidemic,Mutant Chocolate Strain,WHO,30545.0,Boston,2021-01-29,,Still Dancing,129799.45
8652.0,Alien Flu,Cellular Rays,World Dance Federation,35739.0,Boston,2017-02-28,2021-12-05,Recovered with Allergies,1921702.99
8100.0,Invisible Dog Bites,Banana Peels,Intergalactic Health Organization,44339.0,New York,2016-07-03,2022-04-05,Quarantined,1717423.88
5866.0,Gluten Intolerance Pandemic,Mutant Chocolate Strain,Banana Safety Commission,12859.0,Chicago,2014-06-13,2022-07-07,Developed Superpowers,1759199.5
2764.0,Chocolate Poisoning,Alien Spores,National Cheese Board,42716.0,Chicago,2019-04-14,2021-10-27,Mutated,1738016.87
2122.0,Mobile Phone Radiation Syndrome,Zombie Virus,NASA,13736.0,San Francisco,2021-01-15,2022-04-28,Still Dancing,313360.83
4830.0,Banana Peel Slip Epidemic,Banana Peels,Intergalactic Health Organization,3548.0,New York,2017-05-04,2022-05-21,Quarantined,1571068.81
7700.0,Gluten Intolerance Pandemic,Invisible Dog Virus,World Dance Federation,42134.0,,2015-05-05,2021-10-18,Banished to Space,1457103.05
3958.0,Alien Flu,Zombie Virus,,4767.0,,2021-03-19,2022-01-20,Turned Into Zombie,1851203.64
2540.0,Chocolate Poisoning,Alien Spores,NASA,4904.0,Miami,2015-02-27,2022-02-02,Mutated,442547.93
9714.0,Chocolate Poisoning,Radioactive Cheese,,34676.0,Miami,2017-09-17,2022-04-25,Became Infected,831018.55
6467.0,Invisible Dog Bites,Banana Peels,WHO,43301.0,Miami,2021-08-01,2021-12-20,Quarantined,593382.38
8053.0,Chocolate Poisoning,Invisible Dog Virus,PAHO,14408.0,New York,2016-12-19,2022-06-08,Recovered with Allergies,519546.05
6670.0,Invisible Dog Bites,Invisible Dog Virus,PAHO,21907.0,Miami,2020-10-09,2021-11-09,Banished to Space,1306501.47
2738.0,Tickling Fever,Funky Dance Bacteria,,35331.0,San Francisco,2019-04-29,2022-06-25,Quarantined,332066.98
5189.0,Banana Peel Slip Epidemic,Radioactive Cheese,National Cheese Board,15634.0,,2016-12-10,2022-04-22,Still Dancing,932290.2
3533.0,Radioactive Cheese Contamination,Wheat Molecule Mutation,Intergalactic Health Organization,5010.0,Chicago,,2022-01-06,Quarantined,1295047.69
6269.0,Mobile Phone Radiation Syndrome,Banana Peels,FBI,36333.0,Chicago,2018-07-29,2021-12-21,Still Dancing,264954.62
9690.0,Chocolate Poisoning,Cellular Rays,NASA,26626.0,San Francisco,2019-04-14,2021-10-23,Still Dancing,517675.37
3418.0,Invisible Dog Bites,Cellular Rays,FBI,26423.0,,2018-03-26,2021-12-11,Mutated,1934895.29
6076.0,Invisible Dog Bites,Cellular Rays,Intergalactic Health Organization,18750.0,San Francisco,2015-06-15,2022-03-31,Cured,1591881.52
1484.0,Invisible Dog Bites,Cellular Rays,Banana Safety Commission,43590.0,Boston,2015-04-10,2021-10-02,Became Infected,1355524.58
1664.0,Tickling Fever,Alien Spores,WHO,47467.0,Austin,2020-01-15,2022-06-15,Lost Sense of Humor,1712658.57
4454.0,Banana Peel Slip Epidemic,Cellular Rays,PAHO,,Miami,2019-05-26,2021-10-29,Developed Superpowers,32867.06
1627.0,Invisible Dog Bites,Tickling Bacteria,Intergalactic Health Organization,19462.0,New York,2019-09-22,2022-02-22,Still Dancing,17118.5
,Tickling Fever,Radioactive Cheese,FBI,32274.0,San Francisco,,2022-04-29,,312163.44
5287.0,Zombie Virus Outbreak,Invisible Dog Virus,World Dance Federation,25769.0,,2018-11-05,2021-10-26,Developed Superpowers,993037.95
6166.0,Tickling Fever,Wheat Molecule Mutation,National Cheese Board,4281.0,Miami,2014-06-23,2022-01-12,Cured,1142097.55
,Chocolate Poisoning,Mutant Chocolate Strain,,19582.0,Austin,2017-06-07,2022-01-17,,231808.62
5540.0,Chocolate Poisoning,Invisible Dog Virus,Banana Safety Commission,7571.0,Austin,2017-10-10,2021-10-18,Banished to Space,149209.81
8476.0,Dancing Plague,Mutant Chocolate Strain,PAHO,11399.0,Boston,2021-02-08,2021-10-15,Cured,1657526.59
1707.0,Invisible Dog Bites,Funky Dance Bacteria,PAHO,32818.0,Chicago,2016-01-15,2022-07-08,Mutated,
9624.0,Banana Peel Slip Epidemic,Alien Spores,,41086.0,New York,2020-09-04,2022-06-26,Mutated,1985026.38
9664.0,Mobile Phone Radiation Syndrome,Zombie Virus,Intergalactic Health Organization,29682.0,Chicago,2016-06-12,2021-11-15,Banished to Space,462546.58
1047.0,Invisible Dog Bites,Radioactive Cheese,World Dance Federation,7661.0,,2019-01-04,2022-02-22,Turned Into Zombie,1296166.22
2914.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,PAHO,19062.0,Boston,2020-10-04,2022-03-04,Recovered with Allergies,1609754.39
2105.0,Alien Flu,Mutant Chocolate Strain,WHO,22568.0,Miami,2018-05-28,2021-10-29,,1745913.12
4180.0,Dancing Plague,Invisible Dog Virus,Banana Safety Commission,43205.0,Austin,2015-10-25,2022-01-12,Quarantined,616106.44
9549.0,,Cellular Rays,PAHO,,San Francisco,2017-05-06,2022-02-25,Banished to Space,390594.36
1567.0,Tickling Fever,Radioactive Cheese,FBI,1598.0,Miami,2018-09-30,2021-11-16,Cured,456058.67
9671.0,Alien Flu,Cellular Rays,PAHO,24811.0,San Francisco,2017-10-30,2022-03-31,Mutated,1335151.83
1866.0,Zombie Virus Outbreak,Zombie Virus,NASA,14038.0,Austin,2015-12-05,2022-03-06,Developed Superpowers,1047048.03
2028.0,Alien Flu,Alien Spores,PAHO,29243.0,San Francisco,2015-01-01,2021-11-10,Cured,1199987.81
2813.0,Radioactive Cheese Contamination,Tickling Bacteria,,14547.0,San Francisco,2020-12-14,2022-03-13,Turned Into Zombie,45954.59
4728.0,Gluten Intolerance Pandemic,Tickling Bacteria,World Dance Federation,6095.0,Boston,2015-10-22,2022-07-23,Mutated,784991.55
6513.0,Chocolate Poisoning,Invisible Dog Virus,NASA,19926.0,New York,2021-03-26,2022-03-22,Recovered with Allergies,623746.19
4526.0,Invisible Dog Bites,Alien Spores,WHO,26869.0,Boston,2017-10-13,2022-01-01,Mutated,1728243.68
